Service,CPU Threshold (%),Memory Threshold (Mb),PodsMin,PodsMax
ts-admin-basic-info-service,80,800Mi,1,30
ts-admin-order-service,80,800Mi,1,30
ts-admin-route-service,80,4000Mi,1,30
ts-admin-travel-service,80,400Mi,1,30
ts-admin-user-service,80,1600Mi,1,30
ts-assurance-service,80,800Mi,1,30
ts-auth-service,80,800Mi,1,30
ts-avatar-service,80,400Mi,1,30
ts-basic-service,80,1600Mi,1,30
ts-cancel-service,80,800Mi,1,30
ts-config-service,80,400Mi,1,30
ts-consign-price-service,80,800Mi,1,30
ts-consign-service,80,800Mi,1,30
ts-contacts-service,80,1600Mi,1,30
ts-delivery-service,80,800Mi,1,30
ts-execute-service,80,400Mi,1,30
ts-food-map-service,80,800Mi,1,30
ts-food-service,80,1600Mi,1,30
ts-inside-payment-service,80,1600Mi,1,30
ts-news-service,80,400Mi,1,30
ts-notification-service,80,400Mi,1,30
ts-order-other-service,80,800Mi,1,30
ts-order-service,80,1600Mi,1,30
ts-payment-service,80,800Mi,1,30
ts-preserve-other-service,80,320Mi,1,30
ts-preserve-service,80,1600Mi,1,30
ts-price-service,80,800Mi,1,30
ts-rebook-service,80,400Mi,1,30
ts-route-plan-service,80,800Mi,1,30
ts-route-service,80,800Mi,1,30
ts-seat-service,80,960Mi,1,30
ts-security-service,80,400Mi,1,30
ts-station-service,80,400Mi,1,30
ts-ticket-office-service,80,400Mi,1,30
ts-ticketinfo-service,80,960Mi,1,30
ts-train-service,80,400Mi,1,30
ts-travel-plan-service,80,560Mi,1,30
ts-travel-service,80,1280Mi,1,30
ts-travel2-service,80,960Mi,1,30
ts-user-service,80,800Mi,1,30
ts-verification-code-service,80,400Mi,1,30
ts-voucher-service,80,400Mi,1,30
