Service,Purpose,CPU Threshold (%),Memory Threshold (Mb),PodsMin,PodsMax,lim_cpu,lim_mem
ts-admin-basic-info-service ,Service,80,800Mi,1,5,400,1000
ts-admin-order-service      ,Service,80,800Mi,1,10,400,1000
"ts-admin-route-service						",Service,80,4000Mi,1,1,1000,5000
ts-admin-travel-service     ,Service,80,400Mi,1,10,200,500
ts-admin-user-service       ,Service,80,1600Mi,1,5,500,2000
ts-assurance-mongo          ,DB,80,400Mi,1,1,100,200
ts-assurance-service        ,Service,80,800Mi,1,3,200,1000
ts-auth-mongo               ,DB,80,400Mi,1,1,200,500
ts-auth-service             ,Service,80,800Mi,1,10,400,1000
ts-avatar-service           ,Service,80,400Mi,1,1,50,200
ts-basic-service            ,Service,80,1600Mi,1,5,400,2000
ts-cancel-service           ,Service,80,800Mi,1,5,400,1000
ts-config-mongo             ,DB,80,400Mi,1,1,50,100
ts-config-service           ,Service,80,400Mi,1,1,100,200
ts-consign-mongo            ,DB,80,400Mi,1,1,100,200
ts-consign-price-mongo      ,DB,80,400Mi,1,1,100,200
ts-consign-price-service    ,Service,80,800Mi,1,3,400,1000
ts-consign-service          ,Service,80,800Mi,1,3,400,1000
ts-contacts-mongo           ,DB,80,400Mi,1,1,100,200
ts-contacts-service         ,Service,80,1600Mi,1,2,200,2000
ts-delivery-mongo           ,DB,80,400Mi,1,1,50,100
ts-delivery-service         ,Service,80,800Mi,1,5,300,1000
ts-execute-service          ,Service,80,400Mi,1,2,100,500
ts-food-map-mongo           ,DB,80,400Mi,1,1,100,200
ts-food-map-service         ,Service,80,800Mi,1,2,200,1000
ts-food-mongo               ,DB,80,400Mi,1,1,50,100
ts-food-service             ,Service,80,1600Mi,1,3,100,2000
ts-inside-payment-mongo     ,DB,80,400Mi,1,1,200,400
ts-inside-payment-service   ,Service,80,1600Mi,1,30,300,2000
ts-news-service             ,Service,80,400Mi,1,1,20,20
ts-notification-mongo       ,DB,80,400Mi,1,1,50,100
ts-notification-service     ,Service,80,400Mi,1,1,100,300
ts-order-mongo              ,DB,80,400Mi,1,1,200,200
ts-order-other-mongo        ,DB,80,400Mi,1,1,50,100
ts-order-other-service      ,Service,80,800Mi,1,5,100,1000
ts-order-service            ,Service,80,1600Mi,1,10,500,2000
ts-payment-mongo            ,DB,80,400Mi,1,1,200,500
ts-payment-service          ,Service,80,800Mi,1,20,200,1000
ts-preserve-other-service   ,Service,80,320Mi,1,5,100,400
ts-preserve-service         ,Service,80,1600Mi,1,5,200,2000
ts-price-mongo              ,DB,80,400Mi,1,1,50,100
ts-price-service            ,Service,80,800Mi,1,5,100,1000
ts-rebook-service           ,Service,80,400Mi,1,2,100,500
ts-route-mongo              ,DB,80,400Mi,1,1,200,200
ts-route-plan-service       ,Service,80,800Mi,1,5,200,1000
ts-route-service            ,Service,80,800Mi,1,15,200,1000
ts-seat-service             ,Service,80,960Mi,1,3,300,1200
ts-security-mongo           ,DB,80,400Mi,1,1,50,100
ts-security-service         ,Service,80,400Mi,1,1,50,1000
ts-station-mongo            ,DB,80,400Mi,1,1,200,200
ts-station-service          ,Service,80,400Mi,1,1,1500,5000
ts-ticket-office-mongo      ,DB,80,400Mi,1,1,50,100
ts-ticket-office-service    ,Service,80,400Mi,1,1,50,100
ts-ticketinfo-service       ,Service,80,960Mi,1,5,250,1200
ts-train-mongo              ,DB,80,400Mi,1,1,100,100
ts-train-service            ,Service,80,400Mi,1,1,400,1200
ts-travel-mongo             ,DB,80,400Mi,1,1,200,200
ts-travel-plan-service      ,Service,80,560Mi,1,5,100,700
ts-travel-service           ,Service,80,1280Mi,1,10,500,1600
ts-travel2-mongo            ,DB,80,400Mi,1,1,50,100
ts-travel2-service          ,Service,80,960Mi,1,3,100,1200
ts-ui-dashboard             ,UI-Interface,80,400Mi,1,1,50,50
ts-user-mongo               ,DB,80,400Mi,1,1,200,500
ts-user-service             ,Service,80,800Mi,1,10,100,1000
ts-verification-code-service,Service,80,400Mi,1,3,50,500
ts-voucher-mysql            ,DB,80,400Mi,1,1,50,100
ts-voucher-service          ,Service,80,400Mi,1,1,50,50
